,song_name,artist_id,artist_name,partition,language_label,gender_label,full_path,reason,
28,1_6.wav,3,Adrian Minune,TEST,Romanian,male,TEST/3/1_6.wav,No Singing Voice,
294,0_3.wav,15,Alexandra Stan,TEST,Romanian,female,TEST/15/0_3.wav,No Singing Voice,
297,0_6.wav,15,Alexandra Stan,TEST,Romanian,female,TEST/15/0_6.wav,No Singing Voice,
1356,0_1.wav,45,Beni,TEST,Japanese,female,TEST/45/0_1.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1357,0_10.wav,45,Beni,TEST,Japanese,female,TEST/45/0_10.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1358,0_2.wav,45,Beni,TEST,Japanese,female,TEST/45/0_2.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1359,0_3.wav,45,Beni,TEST,Japanese,female,TEST/45/0_3.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1360,0_4.wav,45,Beni,TEST,Japanese,female,TEST/45/0_4.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1361,0_5.wav,45,Beni,TEST,Japanese,female,TEST/45/0_5.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1362,0_6.wav,45,Beni,TEST,Japanese,female,TEST/45/0_6.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1363,0_7.wav,45,Beni,TEST,Japanese,female,TEST/45/0_7.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1364,0_8.wav,45,Beni,TEST,Japanese,female,TEST/45/0_8.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
1365,0_9.wav,45,Beni,TEST,Japanese,female,TEST/45/0_9.wav,Wrong label,"song_name:A?k Beni Sevmedi, artist_name:Orhan ?lmez"
4427,0_10.wav,122,Fey,TEST,Spanish,female,TEST/122/0_10.wav,No Singing Voice,
5332,1_1.wav,144,Isabelle Adjani,TEST,French,female,TEST/144/1_1.wav,Same with 144/0_1,
5333,1_2.wav,144,Isabelle Adjani,TEST,French,female,TEST/144/1_2.wav,Same with 144/0_2,
5334,1_3.wav,144,Isabelle Adjani,TEST,French,female,TEST/144/1_3.wav,Same with 144/0_3,
5335,1_4.wav,144,Isabelle Adjani,TEST,French,female,TEST/144/1_4.wav,Same with 144/0_4,
5336,1_5.wav,144,Isabelle Adjani,TEST,French,female,TEST/144/1_5.wav,Same with 144/0_5,
5337,1_6.wav,144,Isabelle Adjani,TEST,French,female,TEST/144/1_6.wav,Same with 144/0_6,
6898,1_1.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_1.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
6899,1_2.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_2.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
6900,1_3.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_3.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
6901,1_4.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_4.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
6902,1_5.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_5.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
6903,1_6.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_6.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
6904,1_7.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_7.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
6905,1_8.wav,169,Kang Kang,TEST,Mandarin,male,TEST/169/1_8.wav,Wrong label,"song_name:How Am I Supposed to Live Without You, artist_name:Michael Bolton"
10771,0_1.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/0_1.wav,No Singing Voice,
10780,1_1.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_1.wav,Same with 274/0_1,
10781,1_2.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_2.wav,Same with 274/0_2,
10782,1_3.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_3.wav,Same with 274/0_3,
10783,1_4.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_4.wav,Same with 274/0_4,
10784,1_5.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_5.wav,Same with 274/0_5,
10785,1_6.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_6.wav,Same with 274/0_6,
10786,1_7.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_7.wav,Same with 274/0_7,
10787,1_8.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_8.wav,Same with 274/0_8,
10788,1_9.wav,274,Shambhu Rai,TEST,Nepali,male,TEST/274/1_9.wav,Same with 274/0_9,
11182,0_1.wav,284,Suara,TEST,Japanese,female,TEST/284/0_1.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11183,0_10.wav,284,Suara,TEST,Japanese,female,TEST/284/0_10.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11184,0_11.wav,284,Suara,TEST,Japanese,female,TEST/284/0_11.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11185,0_12.wav,284,Suara,TEST,Japanese,female,TEST/284/0_12.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11186,0_2.wav,284,Suara,TEST,Japanese,female,TEST/284/0_2.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11187,0_3.wav,284,Suara,TEST,Japanese,female,TEST/284/0_3.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11188,0_4.wav,284,Suara,TEST,Japanese,female,TEST/284/0_4.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11189,0_5.wav,284,Suara,TEST,Japanese,female,TEST/284/0_5.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11190,0_6.wav,284,Suara,TEST,Japanese,female,TEST/284/0_6.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11191,0_7.wav,284,Suara,TEST,Japanese,female,TEST/284/0_7.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11192,0_8.wav,284,Suara,TEST,Japanese,female,TEST/284/0_8.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11193,0_9.wav,284,Suara,TEST,Japanese,female,TEST/284/0_9.wav,Wrong label,"song_name:Suara Tati, artist_name:Evie Tamala"
11194,2_1.wav,284,Suara,TEST,Japanese,female,TEST/284/2_1.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
11195,2_2.wav,284,Suara,TEST,Japanese,female,TEST/284/2_2.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
11196,2_3.wav,284,Suara,TEST,Japanese,female,TEST/284/2_3.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
11197,2_4.wav,284,Suara,TEST,Japanese,female,TEST/284/2_4.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
11198,2_5.wav,284,Suara,TEST,Japanese,female,TEST/284/2_5.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
11199,2_6.wav,284,Suara,TEST,Japanese,female,TEST/284/2_6.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
11200,2_7.wav,284,Suara,TEST,Japanese,female,TEST/284/2_7.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
11201,2_8.wav,284,Suara,TEST,Japanese,female,TEST/284/2_8.wav,Wrong label,"song_name:Suara Pikiranku, artist_name:NOAH"
15363,0_4.wav,363,Amy Millan,TEST,English,female,TEST/363/0_4.wav,No Singing Voice,
16789,0_1.wav,400,Beth Hart,TEST,English,female,TEST/400/0_1.wav,Same with 400/1_1,
16790,0_2.wav,400,Beth Hart,TEST,English,female,TEST/400/0_2.wav,Same with 400/1_2,
16791,0_3.wav,400,Beth Hart,TEST,English,female,TEST/400/0_3.wav,Same with 400/1_3,
16792,0_4.wav,400,Beth Hart,TEST,English,female,TEST/400/0_4.wav,Same with 400/1_4,
16793,0_5.wav,400,Beth Hart,TEST,English,female,TEST/400/0_5.wav,Same with 400/1_5,
16794,0_6.wav,400,Beth Hart,TEST,English,female,TEST/400/0_6.wav,Same with 400/1_6,
16795,0_7.wav,400,Beth Hart,TEST,English,female,TEST/400/0_7.wav,Same with 400/1_7,
22436,2_1.wav,498,Cranes,TEST,English,female,TEST/498/2_1.wav,No Singing Voice,
22439,3_1.wav,498,Cranes,TEST,English,female,TEST/498/3_1.wav,Same with 498/2_1,
22440,3_2.wav,498,Cranes,TEST,English,female,TEST/498/3_2.wav,Same with 498/2_2,
22441,3_3.wav,498,Cranes,TEST,English,female,TEST/498/3_3.wav,Same with 498/2_3,
22896,0_1.wav,518,David Gates,TEST,English,male,TEST/518/0_1.wav,Wrong label,"song_name:You Needed Me, artist_name:Anne Murray,"
22897,0_2.wav,518,David Gates,TEST,English,male,TEST/518/0_2.wav,Wrong label,"song_name:You Needed Me, artist_name:Anne Murray,"
22898,0_3.wav,518,David Gates,TEST,English,male,TEST/518/0_3.wav,Wrong label,"song_name:You Needed Me, artist_name:Anne Murray,"
22899,0_4.wav,518,David Gates,TEST,English,male,TEST/518/0_4.wav,Wrong label,"song_name:You Needed Me, artist_name:Anne Murray,"
22900,0_5.wav,518,David Gates,TEST,English,male,TEST/518/0_5.wav,Wrong label,"song_name:You Needed Me, artist_name:Anne Murray,"
22901,0_6.wav,518,David Gates,TEST,English,male,TEST/518/0_6.wav,Wrong label,"song_name:You Needed Me, artist_name:Anne Murray,"
22902,1_1.wav,518,David Gates,TEST,English,male,TEST/518/1_1.wav,Wrong label,"song_name:If Tomorrow Never Comes, artist_name:Ronan Keating"
22903,1_2.wav,518,David Gates,TEST,English,male,TEST/518/1_2.wav,Wrong label,"song_name:If Tomorrow Never Comes, artist_name:Ronan Keating"
22904,1_3.wav,518,David Gates,TEST,English,male,TEST/518/1_3.wav,Wrong label,"song_name:If Tomorrow Never Comes, artist_name:Ronan Keating"
22905,1_4.wav,518,David Gates,TEST,English,male,TEST/518/1_4.wav,Wrong label,"song_name:If Tomorrow Never Comes, artist_name:Ronan Keating"
22906,1_5.wav,518,David Gates,TEST,English,male,TEST/518/1_5.wav,Wrong label,"song_name:If Tomorrow Never Comes, artist_name:Ronan Keating"
22907,1_6.wav,518,David Gates,TEST,English,male,TEST/518/1_6.wav,Wrong label,"song_name:If Tomorrow Never Comes, artist_name:Ronan Keating"
23143,1_1.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_1.wav,Same with 530/0_1,
23144,1_2.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_2.wav,Same with 530/0_2,
23145,1_3.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_3.wav,Same with 530/0_3,
23146,1_4.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_4.wav,Same with 530/0_4,
23147,1_5.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_5.wav,Same with 530/0_5,
23148,1_6.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_6.wav,Same with 530/0_6,
23149,1_7.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_7.wav,Same with 530/0_7,
23150,1_8.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_8.wav,Same with 530/0_8,
23151,1_9.wav,530,Destiny's Child,TEST,English,male,TEST/530/1_9.wav,Same with 530/0_9,
27527,7_1.wav,618,Grimes,TEST,English,female,TEST/618/7_1.wav,Wrong label,Epic Rap Battles of History - Rick Grimes vs Walter White ( one of the rapper in this battle named Rick Grimes
27528,7_2.wav,618,Grimes,TEST,English,female,TEST/618/7_2.wav,Wrong label,Epic Rap Battles of History - Rick Grimes vs Walter White ( one of the rapper in this battle named Rick Grimes
27529,7_3.wav,618,Grimes,TEST,English,female,TEST/618/7_3.wav,Wrong label,Epic Rap Battles of History - Rick Grimes vs Walter White ( one of the rapper in this battle named Rick Grimes
27530,7_4.wav,618,Grimes,TEST,English,female,TEST/618/7_4.wav,Wrong label,Epic Rap Battles of History - Rick Grimes vs Walter White ( one of the rapper in this battle named Rick Grimes
27940,0_1.wav,640,Ibrahim Tatlises,TEST,English,male,TEST/640/0_1.wav,No Singing Voice,
27948,1_1.wav,640,Ibrahim Tatlises,TEST,English,male,TEST/640/1_1.wav,No Singing Voice,
27949,1_2.wav,640,Ibrahim Tatlises,TEST,English,male,TEST/640/1_2.wav,No Singing Voice,
27952,1_5.wav,640,Ibrahim Tatlises,TEST,English,male,TEST/640/1_5.wav,No Singing Voice,
38227,0_1.wav,876,Michael Feinstein,TEST,English,male,TEST/876/0_1.wav,Only one utterance remained,
38228,1_1.wav,876,Michael Feinstein,TEST,English,male,TEST/876/1_1.wav,No Singing Voice,
42236,1_122.wav,1073,Taeyang,TEST,English,male,TEST/1073/1_122.wav,No Singing Voice,
42321,1_89.wav,1073,Taeyang,TEST,English,male,TEST/1073/1_89.wav,No Singing Voice,
